LGA_code,LGA_name,0-14 count,"0-14 ASR per 100,002",0-14 SR,15-24 count,"15-24 ASR per 100,002",15- 24SR
16380,Port Macquarie-Hastings (A),24,166,134,11,134.9,82
16610,Richmond Valley (A),7,158.4,128,5,184.1,112
17400b,Tenterfield (A) - part b,#,..,..,#,..,..
17550,Tweed (A),30,178.7,145,10,100.7,62
PHN110,Murrumbidgee,61,126.8,103,52,177.2,108
10650,Berrigan (A),#,..,..,#,..,..
10800,Bland (A),#,..,..,#,..,..
11600,Carrathool (A),#,..,..,#,..,..
12000,Coolamon (A),#,..,..,#,..,..
13510,Cootamundra-Gundagai Regional (A) ,#,..,..,#,..,..
12730,Edward River (A),#,..,..,#,..,..
12870,Federation (A),#,..,..,#,..,..
13340,Greater Hume Shire (A),#,..,..,#,..,..
13450,Griffith (C),6,108.1,87,5,147.5,90
13850,Hay (A),#,..,..,#,..,..
13910,Hilltops (A),5,135.4,110,#,..,..
14300,Junee (A),#,..,..,#,..,..
14600b,Lachlan (A) - part b,#,..,..,#,..,..
14750,Leeton (A),#,..,..,#,..,..
14950,Lockhart (A),#,..,..,#,..,..
15520,Murray River (A),#,..,..,#,..,..
15560,Murrumbidgee (A),#,..,..,#,..,..
15800,Narrandera (A),#,..,..,#,..,..
17080,Snowy Valleys (A),#,..,..,#,..,..
17350,Temora (A),#,..,..,#,..,..
17750,Wagga Wagga (C),24,177.5,144,17,178.4,109
PHN201,North Western Melbourne,336,100.1,81,378,143,87
21180,Brimbank (C),44,115.4,93,38,130.4,80
21890,Darebin (C),22,87.8,71,27,130.4,80
23110,Hobsons Bay (C),13,74.1,60,13,126.2,77
23270,Hume (C),54,106.1,86,64,200.1,122
24130a,Macedon Ranges (S) - part a,12,169.5,137,8,209.8,128
24330,Maribyrnong (C),8,56.6,46,18,153.9,94
24600,Melbourne (C),12,117.1,95,33,64.5,39
24650,Melton (C),43,108,87,44,208.2,127
25060,Moonee Valley (C),20,93.5,76,18,112.5,69
25150a,Moorabool (S) - part a,8,168.4,136,5,198.4,121
25250,Moreland (C),18,62.7,51,35,155.3,95
27260,Wyndham (C),69,103.3,84,64,202.8,124
27350,Yarra (C),12,110.6,90,7,61.2,37
PHN202,Eastern Melbourne,240,84.7,69,267,121.3,74
20660,Banyule (C),15,62.4,50,18,117,71
21110,Boroondara (C),17,55.1,45,17,59.3,36
23670,Knox (C),39,135.2,109,35,162.3,99
24210,Manningham (C),11,52,42,25,149.8,92
24410,Maroondah (C),24,108.6,88,14,98.9,60
24850a,Mitchell (S) - part a,#,..,..,5,234.5,143
24970a,Monash (C) - part a,29,95.2,77,30,84.9,52
25620a,Murrindindi (S) - part a,#,..,..,#,..,..
25710,Nillumbik (S),10,77.9,63,14,150.6,92
26980,Whitehorse (C),18,61.2,50,22,79.3,48
27070,Whittlesea (C),45,92.5,75,62,214.5,131
27450,Yarra Ranges (S),23,76.5,62,21,107.1,65
PHN203,South Eastern Melbourne,314,106.2,86,329,163,100
20910,Bayside (C),23,115,93,17,129.8,79
21450,Cardinia (S),29,114.1,92,18,128.6,79
21610,Casey (C),85,107.5,87,94,195.9,120
22170,Frankston (C),47,176,142,52,309.7,189
22310,Glen Eira (C),9,32.3,26,18,88.3,54
22670,Greater Dandenong (C),28,93.9,76,37,156.2,95
23430,Kingston (C),39,134.3,109,27,139,85
24970b,Monash (C) - part b,#,..,..,#,..,..
25340,Mornington Peninsula (S),32,109.8,89,39,214.2,131
25900,Port Phillip (C),14,106,86,18,165.3,101
26350,Stonnington (C),8,57.1,46,9,55.9,34
PHN204,Gippsland,71,138.5,112,66,216,132
20740,Bass Coast (S),6,101,82,#,..,..
20830,Baw Baw (S),8,76.6,62,9,146.7,90
22110,East Gippsland (S),12,154.9,125,9,206.9,126
23810,Latrobe (C),28,203.6,165,29,314.6,192
26170,South Gippsland (S),#,..,..,12,409.4,250
26810,Wellington (S),14,176.7,143,#,..,..
29399a,Unincorporated Vic - part a,#,..,..,#,..,..
PHN205,Murray,186,159.5,129,145,195.8,120
10050,Albury (C),22,206.7,167,10,140.8,86
20110,Alpine (S),#,..,..,#,..,..
21010,Benalla (RC),#,..,..,#,..,..
21270,Buloke (S),#,..,..,#,..,..
21370,Campaspe (S),15,218.4,177,13,301.2,184
22250,Gannawarra (S),#,..,..,#,..,..
22620,Greater Bendigo (C),39,171,138,33,212,130
22830,Greater Shepparton (C),30,223.7,181,18,219.1,134
23350,Indigo (S),#,..,..,#,..,..
23940a,Loddon (S) - part a,#,..,..,#,..,..
24130b,Macedon Ranges (S) - part b,6,169.5,137,#,..,..
24250,Mansfield (S),#,..,..,#,..,..
24780,Mildura (RC),9,84,68,9,127.8,78
24850b,Mitchell (S) - part b,6,111.1,90,8,234.5,143
24900,Moira (S),13,246.9,200,14,427.4,261
25430,Mount Alexander (S),#,..,..,#,..,..
25620b,Murrindindi (S) - part b,#,..,..,#,..,..
26430,Strathbogie (S),#,..,..,#,..,..
26610,Swan Hill (RC),#,..,..,7,277.8,170
26670,Towong (S),#,..,..,#,..,..
26700,Wangaratta (RC),6,106.3,86,#,..,..
27170,Wodonga (C),15,172.3,139,6,106.9,65
29399b,Unincorporated Vic - part b,#,..,..,#,..,..
PHN206,Western Victoria,232,191.6,155,209,260.3,159
20260,Ararat (RC),#,..,..,#,..,..
20570,Ballarat (C),38,181.1,147,30,197.7,121
21670,Central Goldfields (S),#,..,..,#,..,..
21750,Colac-Otway (S),5,133.1,108,#,..,..
21830,Corangamite (S),#,..,..,#,..,..
22410,Glenelg (S),12,381.3,309,7,324.9,199
22490,Golden Plains (S),7,138.4,112,13,465,284
22750,Greater Geelong (C),102,218.2,177,70,210.3,129
22910,Hepburn (S),#,..,..,7,498.5,305
22980,Hindmarsh (S),#,..,..,#,..,..
23190,Horsham (RC),7,180.2,146,#,..,..
23940b,Loddon (S) - part b,#,..,..,#,..,..
25150b,Moorabool (S) - part b,#,..,..,#,..,..
25490,Moyne (S),#,..,..,5,281,172
25810,Northern Grampians (S),#,..,..,#,..,..
25990,Pyrenees (S),#,..,..,#,..,..
26080,Queenscliffe (B),#,..,..,#,..,..
26260,Southern Grampians (S),6,211.1,171,37,"2,034.80",1244
26490,Surf Coast (S),8,118.4,96,8,253.1,155
26730,Warrnambool (C),11,171.8,139,7,151.9,93
26890,West Wimmera (S),#,..,..,#,..,..
27630,Yarriambiack (S),#,..,..,#,..,..
PHN301,Brisbane North,271,141,114,291,200.4,122
31000a,Brisbane (C) - part a,110,110.3,89,122,146.7,90
35010,Moreton Bay (R),159,162.6,132,151,257.9,158
36580a,Somerset (R) - part a,#,..,..,#,..,..
PHN302,Brisbane South,320,137.4,111,305,187.2,114
31000b,Brisbane (C) - part b,131,110.3,89,145,146.7,90
34590,Logan (C),128,168.7,137,114,246.9,151
36250,Redland (C),59,196.8,159,63,315.8,193
36510a,Scenic Rim (R) - part a,#,..,..,6,347.5,212
PHN303,Gold Coast,225,195.4,158,147,180.3,110
33430,Gold Coast (C),220,196.3,159,139,174.3,107
36510b,Scenic Rim (R) - part b,#,..,..,6,347.5,212
PHN304,Darling Downs and West Moreton,182,144.5,117,172,230.7,141
30370a,Banana (S) - part a,#,..,..,#,..,..
32330,Cherbourg (S),#,..,..,#,..,..
33610,Goondiwindi (R),#,..,..,#,..,..
33960,Ipswich (C),73,140.4,114,83,278.5,170
34580,Lockyer Valley (R),11,136.6,111,6,107.5,66
36510c,Scenic Rim (R) - part c,#,..,..,#,..,..
36580b,Somerset (R) - part b,7,157.9,128,#,..,..
36630,South Burnett (R),10,153.8,124,13,367.5,225
36660,Southern Downs (R),8,114.4,93,#,..,..
36910,Toowoomba (R),56,163.1,132,42,193.2,118
37310,Western Downs (R),10,124.8,101,8,201.3,123
PHN305,Western Queensland,34,240.5,195,37,538.3,329
30300,Balonne (S),#,..,..,#,..,..
30410,Barcaldine (R),#,..,..,#,..,..
30450,Barcoo (S),#,..,..,#,..,..
30760,Blackall-Tambo (R),#,..,..,#,..,..
30900,Boulia (S),#,..,..,#,..,..
31750,Bulloo (S),#,..,..,#,..,..
31950,Burke (S),#,..,..,#,..,..
32250,Carpentaria (S),#,..,..,#,..,..
32450,Cloncurry (S),#,..,..,#,..,..
32750,Diamantina (S),#,..,..,#,..,..
32770,Doomadgee (S),#,..,..,#,..,..
34710,Longreach (R),#,..,..,#,..,..
34800,McKinlay (S),#,..,..,#,..,..
34860,Maranoa (R),5,180.7,146,5,383.6,234
35250,Mornington (S),#,..,..,#,..,..
35300,Mount Isa (C),14,319.9,259,8,339.1,207
35600,Murweh (S),#,..,..,#,..,..
35800,Paroo (S),#,..,..,#,..,..
36150,Quilpie (S),#,..,..,#,..,..
37400,Winton (S),#,..,..,#,..,..
PHN306,"Central Queensland, Wide Bay, Sunshine Coast",378,230.2,186,233,236.3,144
30370b,Banana (S) - part b,8,284.3,230,#,..,..
31820,Bundaberg (R),35,207.2,168,27,257.6,157
32270,Central Highlands (R),26,364.6,295,10,334.6,205
33220,Fraser Coast (R),30,166.7,135,17,166.2,102
33360,Gladstone (R),24,164.8,133,18,237.9,145
33620,Gympie (R),20,208.2,169,17,325.1,199
34530,Livingstone (S),20,278.1,225,13,297.4,182
35740,Noosa (S),12,129.4,105,#,..,..
35760,North Burnett (R),15,802.1,649,#,..,..
36370,Rockhampton (R),28,165.1,134,30,267.4,163
36720,Sunshine Coast (R),159,267.2,216,87,227.9,139
37550,Woorabinda (S),#,..,..,#,..,..
PHN307,Northern Queensland,262,183.1,148,191,214.1,131
30250,Aurukun (S),#,..,..,#,..,..
31900,Burdekin (S),#,..,..,#,..,..
32080,Cairns (R),51,151.1,122,44,217.7,133
32260,Cassowary Coast (R),16,289.8,234,6,186.2,114
32310,Charters Towers (R),8,307.5,249,#,..,..
32500,Cook (S),#,..,..,#,..,..
32600,Croydon (S),#,..,..,#,..,..
32810,Douglas (S),5,249,201,#,..,..
33100,Etheridge (S),#,..,..,#,..,..
33200,Flinders (S),#,..,..,#,..,..
33800,Hinchinbrook (S),7,421.6,341,#,..,..
33830,Hope Vale (S),#,..,..,#,..,..
33980,Isaac (R),#,..,..,#,..,..
34420,Kowanyama (S),#,..,..,#,..,..
34570,Lockhart River (S),#,..,..,#,..,..
34770,Mackay (R),45,183.3,148,36,258.9,158
34830,Mapoon (S),#,..,..,#,..,..
34880,Mareeba (S),18,435.1,352,13,511.6,313
35670,Napranum (S),#,..,..,#,..,..
35780,Northern Peninsula Area (R),#,..,..,#,..,..
35790,Palm Island (S),#,..,..,#,..,..
36070,Pormpuraaw (S),#,..,..,#,..,..
36300,Richmond (S),#,..,..,#,..,..
36820,Tablelands (R),9,192.4,156,#,..,..
36950,Torres (S),#,..,..,#,..,..
36960,Torres Strait Island (R),#,..,..,#,..,..
37010,Townsville (C),58,148.7,120,46,152.9,93
37300,Weipa (T),#,..,..,#,..,..
37340,Whitsunday (R),9,140.9,114,17,443.1,271
37570,Wujal Wujal (S),#,..,..,#,..,..
37600,Yarrabah (S),#,..,..,#,..,..
PHN401,Adelaide,178,82,66,190,117.3,72
40070,Adelaide (C),#,..,..,6,83.2,51
40700,Burnside (C),6,75.1,61,#,..,..
40910,Campbelltown (C),#,..,..,#,..,..
41060,Charles Sturt (C),13,72.4,59,6,41.6,25
42600,Holdfast Bay (C),#,..,..,#,..,..
44060,Marion (C),7,43.7,35,21,178.8,109
44340,Mitcham (C),10,84.8,69,16,179.4,110
45290,Norwood Payneham St Peters (C),8,148.2,120,#,..,..
45340,Onkaparinga (C),25,77.2,62,37,171.6,105
45680,Playford (C),19,85,69,28,213.2,130
45890,Port Adelaide Enfield (C),33,152.5,123,15,98.9,60
46510,Prospect (C),#,..,..,#,..,..
47140,Salisbury (C),24,85.6,69,23,121.5,74
47700,Tea Tree Gully (C),14,77.6,63,10,80.4,49
47980,Unley (C),5,78.9,64,5,98.1,60
48260,Walkerville (M),#,..,..,#,..,..
48410,West Torrens (C),6,62.8,51,8,98.5,60
PHN402,Country SA,64,70.1,57,119,210.5,129
40120,Adelaide Hills (DC),#,..,..,7,139.7,85
43920,Adelaide Plains (DC),#,..,..,5,454.1,278
40220,Alexandrina (DC),#,..,..,10,396.2,242
40250,Anangu Pitjantjatjara (AC),#,..,..,#,..,..
40310,Barossa (DC),#,..,..,6,209.8,128
40430,Barunga West (DC),#,..,..,#,..,..
40520,Berri and Barmera (DC),#,..,..,#,..,..
41010,Ceduna (DC),#,..,..,#,..,..
41140,Clare and Gilbert Valleys (DC),#,..,..,#,..,..
41190,Cleve (DC),#,..,..,#,..,..
41330,Coober Pedy (DC),#,..,..,#,..,..
41560,Copper Coast (DC),#,..,..,#,..,..
41750,Elliston (DC),#,..,..,#,..,..
41830,Flinders Ranges (DC),#,..,..,#,..,..
41960,Franklin Harbour (DC),#,..,..,#,..,..
42030,Gawler (T),#,..,..,#,..,..
42110,Goyder (DC),#,..,..,#,..,..
42250,Grant (DC),#,..,..,#,..,..
42750,Kangaroo Island (DC),#,..,..,#,..,..
43080,Karoonda East Murray (DC),#,..,..,#,..,..
43220,Kimba (DC),#,..,..,#,..,..
43360,Kingston (DC),#,..,..,#,..,..
43650,Light (RegC),#,..,..,6,292.9,179
43710,Lower Eyre Peninsula (DC),#,..,..,#,..,..
43790,Loxton Waikerie (DC),#,..,..,#,..,..
44000,Maralinga Tjarutja (AC),#,..,..,#,..,..
44210,Mid Murray (DC),#,..,..,#,..,..
44550,Mount Barker (DC),#,..,..,14,305.5,187
44620,Mount Gambier (C),6,116.8,95,#,..,..
44830,Mount Remarkable (DC),#,..,..,#,..,..
45040,Murray Bridge (RC),#,..,..,#,..,..
45090,Naracoorte and Lucindale (DC),#,..,..,5,553.6,338
45120,Northern Areas (DC),#,..,..,#,..,..
45400,Orroroo/Carrieton (DC),#,..,..,#,..,..
45540,Peterborough (DC),#,..,..,#,..,..
46090,Port Augusta (C),#,..,..,#,..,..
46300,Port Lincoln (C),#,..,..,#,..,..
46450,Port Pirie City and Dists (M),#,..,..,#,..,..
46670,Renmark Paringa (DC),#,..,..,#,..,..
46860,Robe (DC),#,..,..,#,..,..
46970,Roxby Downs (M),#,..,..,#,..,..
47290,Southern Mallee (DC),#,..,..,#,..,..
47490,Streaky Bay (DC),#,..,..,#,..,..
47630,Tatiara (DC),#,..,..,#,..,..
47800,The Coorong (DC),#,..,..,#,..,..
47910,Tumby Bay (DC),#,..,..,#,..,..
48050,Victor Harbor (C),#,..,..,#,..,..
48130,Wakefield (DC),#,..,..,#,..,..
48340,Wattle Range (DC),#,..,..,#,..,..
48540,Whyalla (C),#,..,..,12,481.4,294
48640,Wudinna (DC),#,..,..,#,..,..
48750,Yankalilla (DC),#,..,..,#,..,..
48830,Yorke Peninsula (DC),#,..,..,#,..,..
49399,Unincorporated SA,#,..,..,#,..,..
PHN501,Perth North,163,79.8,65,160,117.3,72
50350,Bassendean (T),#,..,..,#,..,..
50420,Bayswater (C),9,86.5,70,#,..,..
51310,Cambridge (T),#,..,..,#,..,..
51750,Claremont (T),#,..,..,#,..,..
52170,Cottesloe (T),#,..,..,#,..,..
54170,Joondalup (C),15,48.2,39,34,159.8,98
54200,Kalamunda (S),14,121,98,5,66.8,41
55740,Mosman Park (T),#,..,..,#,..,..
56090,Mundaring (S),6,91.3,74,6,120.5,74
56580,Nedlands (C),#,..,..,#,..,..
56930,Peppermint Grove (S),#,..,..,#,..,..
57080,Perth (C),#,..,..,#,..,..
57910,Stirling (C),35,93.7,76,16,63.8,39
57980,Subiaco (C),#,..,..,#,..,..
58050,Swan (C),26,79.9,65,28,146.6,90
58570,Vincent (C),#,..,..,#,..,..
58760,Wanneroo (C),43,92.5,75,40,141.4,86
PHN502,Perth South,157,80.3,65,138,107.2,66
50210,Armadale (C),20,97.5,79,9,84.3,52
50490,Belmont (C),9,133.7,108,7,144.8,88
51330,Canning (C),8,46.7,38,12,81.9,50
51820,Cockburn (C),8,37,30,19,140.9,86
53150,East Fremantle (T),#,..,..,#,..,..
53430,Fremantle (C),#,..,..,#,..,..
53780,Gosnells (C),23,88.3,71,22,134.2,82
54830,Kwinana (C),6,60.4,49,6,108.5,66
55110,Mandurah (C),20,124.8,101,19,189.5,116
55320,Melville (C),11,59,48,6,47.6,29
56230,Murray (S),#,..,..,#,..,..
57490,Rockingham (C),32,106.4,86,16,90.1,55
57700,Serpentine-Jarrahdale (S),10,128.9,104,#,..,..
57840,South Perth (C),#,..,..,9,135.5,83
58510,Victoria Park (T),#,..,..,#,..,..
58820,Waroona (S),#,..,..,#,..,..
PHN503,Country WA,245,224.7,182,107,190.5,116
50080,Albany (C),12,170.1,138,5,109.9,67
50250,Ashburton (S),#,..,..,#,..,..
50280,Augusta-Margaret River (S),8,228.3,185,#,..,..
50560,Beverley (S),#,..,..,#,..,..
50630,Boddington (S),#,..,..,#,..,..
50770,Boyup Brook (S),#,..,..,#,..,..
50840,Bridgetown-Greenbushes (S),#,..,..,#,..,..
50910,Brookton (S),#,..,..,#,..,..
50980,Broome (S),13,322.4,261,8,422.1,258
51080,Broomehill-Tambellup (S),#,..,..,#,..,..
51120,Bruce Rock (S),#,..,..,#,..,..
51190,Bunbury (C),15,256.3,207,5,148,90
51260,Busselton (C),13,164.4,133,9,221.9,136
51400,Capel (S),9,213.4,173,5,196.2,120
51470,Carnamah (S),#,..,..,#,..,..
51540,Carnarvon (S),#,..,..,#,..,..
51610,Chapman Valley (S),#,..,..,#,..,..
51680,Chittering (S),#,..,..,#,..,..
51890,Collie (S),6,350.5,284,#,..,..
51960,Coolgardie (S),#,..,..,#,..,..
52030,Coorow (S),#,..,..,#,..,..
52100,Corrigin (S),#,..,..,#,..,..
52240,Cranbrook (S),#,..,..,#,..,..
52310,Cuballing (S),#,..,..,#,..,..
52380,Cue (S),#,..,..,#,..,..
52450,Cunderdin (S),#,..,..,#,..,..
52520,Dalwallinu (S),#,..,..,#,..,..
52590,Dandaragan (S),#,..,..,#,..,..
52660,Dardanup (S),7,237.2,192,#,..,..
52730,Denmark (S),#,..,..,#,..,..
52800,Derby-West Kimberley (S),12,532.2,431,#,..,..
52870,Donnybrook-Balingup (S),#,..,..,#,..,..
52940,Dowerin (S),#,..,..,#,..,..
53010,Dumbleyung (S),#,..,..,#,..,..
53080,Dundas (S),#,..,..,#,..,..
53220,East Pilbara (S),#,..,..,#,..,..
53290,Esperance (S),#,..,..,#,..,..
53360,Exmouth (S),#,..,..,#,..,..
53570,Gingin (S),#,..,..,#,..,..
53640,Gnowangerup (S),#,..,..,#,..,..
53710,Goomalling (S),#,..,..,#,..,..
53800,Greater Geraldton (C),26,313.6,254,8,157.4,96
53920,Halls Creek (S),8,898.2,727,#,..,..
53990,Harvey (S),11,180.3,146,6,167.2,102
54060,Irwin (S),#,..,..,#,..,..
54130,Jerramungup (S),#,..,..,#,..,..
54280,Kalgoorlie/Boulder (C),25,367.3,297,#,..,..
54310,Karratha (C),7,119.9,97,5,220.1,135
54340,Katanning (S),#,..,..,#,..,..
54410,Kellerberrin (S),#,..,..,#,..,..
54480,Kent (S),#,..,..,#,..,..
54550,Kojonup (S),#,..,..,#,..,..
54620,Kondinin (S),#,..,..,#,..,..
54690,Koorda (S),#,..,..,#,..,..
54760,Kulin (S),#,..,..,#,..,..
54900,Lake Grace (S),#,..,..,#,..,..
54970,Laverton (S),#,..,..,#,..,..
55040,Leonora (S),#,..,..,#,..,..
55180,Manjimup (S),#,..,..,#,..,..
55250,Meekatharra (S),#,..,..,#,..,..
55390,Menzies (S),#,..,..,#,..,..
55460,Merredin (S),#,..,..,#,..,..
55530,Mingenew (S),#,..,..,#,..,..
55600,Moora (S),#,..,..,#,..,..
55670,Morawa (S),#,..,..,#,..,..
55810,Mount Magnet (S),#,..,..,#,..,..
55880,Mount Marshall (S),#,..,..,#,..,..
55950,Mukinbudin (S),#,..,..,#,..,..
56160,Murchison (S),#,..,..,#,..,..
56300,Nannup (S),#,..,..,#,..,..
56370,Narembeen (S),#,..,..,#,..,..
56460,Narrogin (S),#,..,..,#,..,..
56620,Ngaanyatjarraku (S),#,..,..,#,..,..
56730,Northam (S),#,..,..,#,..,..
56790,Northampton (S),#,..,..,#,..,..
56860,Nungarin (S),#,..,..,#,..,..
57000,Perenjori (S),#,..,..,#,..,..
57140,Pingelly (S),#,..,..,#,..,..
57210,Plantagenet (S),#,..,..,#,..,..
57280,Port Hedland (T),8,221.9,180,#,..,..
57350,Quairading (S),#,..,..,#,..,..
57420,Ravensthorpe (S),#,..,..,#,..,..
57630,Sandstone (S),#,..,..,#,..,..
57770,Shark Bay (S),#,..,..,#,..,..
58190,Tammin (S),#,..,..,#,..,..
58260,Three Springs (S),#,..,..,#,..,..
58330,Toodyay (S),#,..,..,#,..,..
58400,Trayning (S),#,..,..,#,..,..
58470,Upper Gascoyne (S),#,..,..,#,..,..
58540,Victoria Plains (S),#,..,..,#,..,..
58610,Wagin (S),#,..,..,#,..,..
58680,Wandering (S),#,..,..,#,..,..
58890,West Arthur (S),#,..,..,#,..,..
59030,Westonia (S),#,..,..,#,..,..
59100,Wickepin (S),#,..,..,#,..,..
59170,Williams (S),#,..,..,#,..,..
59250,Wiluna (S),#,..,..,#,..,..
59310,Wongan-Ballidu (S),#,..,..,#,..,..
59320,Woodanilling (S),#,..,..,#,..,..
59330,Wyalkatchem (S),#,..,..,#,..,..
59340,Wyndham-East Kimberley (S),19,"1,069.00",865,7,797,487
59350,Yalgoo (S),#,..,..,#,..,..
